X--Trace 1::[I(R1:1) | I(PR1)],Y--Trace 1::[I(R1:1) | I(PR1)],,X--Trace 2::[V(2) | V(PR3)],Y--Trace 2::[V(2) | V(PR3)]
0,2.40E-11,,0,12
0.01,2.40E-11,,0.01,12
0.02,2.40E-11,,0.02,12
0.03,2.40E-11,,0.03,12
0.04,2.40E-11,,0.04,12
0.05,2.40E-11,,0.05,12
0.06,2.40E-11,,0.06,12
0.07,2.40E-11,,0.07,12
0.08,2.40E-11,,0.08,12
0.09,2.40E-11,,0.09,12
0.1,2.40E-11,,0.1,12
0.11,2.40E-11,,0.11,12
0.12,2.40E-11,,0.12,12
0.13,2.40E-11,,0.13,12
0.14,2.40E-11,,0.14,12
0.15,2.40E-11,,0.15,12
0.16,2.40E-11,,0.16,12
0.17,2.40E-11,,0.17,12
0.18,2.40E-11,,0.18,12
0.19,2.40E-11,,0.19,12
0.2,2.40E-11,,0.2,12
0.21,2.40E-11,,0.21,12
0.22,2.40E-11,,0.22,12
0.23,2.40E-11,,0.23,12
0.24,2.40E-11,,0.24,12
0.25,2.40E-11,,0.25,12
0.26,2.40E-11,,0.26,12
0.27,2.40E-11,,0.27,12
0.28,2.40E-11,,0.28,12
0.29,2.40E-11,,0.29,12
0.3,2.40E-11,,0.3,12
0.31,2.40E-11,,0.31,12
0.32,2.40E-11,,0.32,12
0.33,2.40E-11,,0.33,12
0.34,2.40E-11,,0.34,12
0.35,2.40E-11,,0.35,12
0.36,2.40E-11,,0.36,12
0.37,2.40E-11,,0.37,12
0.38,2.40E-11,,0.38,12
0.39,2.40E-11,,0.39,12
0.4,2.40E-11,,0.4,12
0.41,2.40E-11,,0.41,12
0.42,2.40E-11,,0.42,12
0.43,2.40E-11,,0.43,12
0.44,2.40E-11,,0.44,12
0.45,2.40E-11,,0.45,12
0.46,2.40E-11,,0.46,12
0.47,2.40E-11,,0.47,12
0.48,2.40E-11,,0.48,12
0.49,2.40E-11,,0.49,12
0.5,2.40E-11,,0.5,12
0.51,2.40E-11,,0.51,12
0.52,2.40E-11,,0.52,12
0.53,2.40E-11,,0.53,12
0.54,2.40E-11,,0.54,12
0.55,2.40E-11,,0.55,12
0.56,2.40E-11,,0.56,12
0.57,2.40E-11,,0.57,12
0.58,2.40E-11,,0.58,12
0.59,2.40E-11,,0.59,12
0.6,2.40E-11,,0.6,12
0.61,2.40E-11,,0.61,12
0.62,2.40E-11,,0.62,12
0.63,2.40E-11,,0.63,12
0.64,2.40E-11,,0.64,12
0.65,2.40E-11,,0.65,12
0.66,2.40E-11,,0.66,12
0.67,2.40E-11,,0.67,12
0.68,2.40E-11,,0.68,12
0.69,2.40E-11,,0.69,12
0.7,2.40E-11,,0.7,12
0.71,2.40E-11,,0.71,12
0.72,2.40E-11,,0.72,12
0.73,2.40E-11,,0.73,12
0.74,2.40E-11,,0.74,12
0.75,2.40E-11,,0.75,12
0.76,2.40E-11,,0.76,12
0.77,2.40E-11,,0.77,12
0.78,2.40E-11,,0.78,12
0.79,2.40E-11,,0.79,12
0.8,2.40E-11,,0.8,12
0.81,2.40E-11,,0.81,12
0.82,2.40E-11,,0.82,12
0.83,2.40E-11,,0.83,12
0.84,2.40E-11,,0.84,12
0.85,2.40E-11,,0.85,12
0.86,2.40E-11,,0.86,12
0.87,2.40E-11,,0.87,12
0.88,2.40E-11,,0.88,12
0.89,2.40E-11,,0.89,12
0.9,2.40E-11,,0.9,12
0.91,2.40E-11,,0.91,12
0.92,2.40E-11,,0.92,12
0.93,2.40E-11,,0.93,12
